date,revenue,meta_spend,google_spend,tiktok_spend,email_spend,influencer_spend,promo_flag,week_of_year,year
2022-11-07,161710.53,19043.88,13830.89,7389.71,2089.42,0,0,45,2022
2022-11-14,167611.59,18593.97,12780.04,7062.16,1510.58,5000,0,46,2022
2022-11-21,162877.1,15500.99,10267.04,8056.89,1290.08,0,0,47,2022
2022-11-28,167747.95,15692.9,11341.01,6409.64,1564.19,0,0,48,2022
2022-12-05,167484.21,13639.95,13130.99,8507.18,1466.3,0,0,49,2022
2022-12-12,171331.14,15464.51,11195.24,10104.93,1433.71,8000,0,50,2022
2022-12-19,178977.41,15586.14,12385.57,7720.35,1684.25,0,0,51,2022
2022-12-26,180686.31,13571.3,12755.22,8563.73,1727.25,5000,0,52,2022
2023-01-02,186700.64,27731.55,11092.49,9074.05,2340.85,0,0,1,2023
2023-01-09,191957.15,24947.67,11998.73,7514.67,2327.25,0,0,2,2023
2023-01-16,190210.27,21617.39,8855.82,8530.31,1417.48,0,0,3,2023
2023-01-23,189821.99,25313.11,11111.53,8290.73,809.42,0,0,4,2023
2023-01-30,182266.26,16050.64,11922.19,8496.03,1045.44,0,0,5,2023
2023-02-06,186032.06,19574.17,10965.81,7267.67,1910.06,0,0,6,2023
2023-02-13,191071.14,20317.19,13884.84,8541.62,1993.49,0,0,7,2023
2023-02-20,198503.99,16358.64,10861.12,9329.52,1425.29,8000,0,8,2023
2023-02-27,194610.72,19926.75,11890.05,10836.91,1672.97,0,0,9,2023
2023-03-06,194540.83,18825.56,12499.67,10176.77,1593.38,0,0,10,2023
2023-03-13,198296.95,19644.12,13849.04,12045.31,2423.66,8000,0,11,2023
2023-03-20,193382.51,21793.59,11010.74,7742.18,1835.87,0,0,12,2023
2023-03-27,197422.2,17509.22,13648.6,10279.35,1461.62,0,0,13,2023
2023-04-03,199649.65,16492.53,12534.5,9323.56,1213.34,8000,0,14,2023
2023-04-10,192278.22,16220.97,11581.6,12410.92,1018.07,0,0,15,2023
2023-04-17,194373.07,16368.38,13064.05,7991.44,1561.04,0,0,16,2023
2023-04-24,189809.38,17845.8,12839.84,8021.97,1273.09,0,0,17,2023
2023-05-01,195613.86,23682.3,12079.39,8460.13,2073.32,5000,0,18,2023
2023-05-08,197331.49,23553.38,12788.25,6251.05,2306.03,0,0,19,2023
2023-05-15,197790.25,24654.37,12371.97,8725.93,1175.54,0,0,20,2023
2023-05-22,198698.26,23026.0,12909.63,8453.53,2006.14,8000,0,21,2023
2023-05-29,204946.05,25907.07,13497.08,9895.49,1764.49,5000,0,22,2023
2023-06-05,186327.89,17470.69,14459.8,10260.21,1497.61,0,0,23,2023
2023-06-12,196155.9,23440.34,11674.81,12639.5,1943.98,0,0,24,2023
2023-06-19,193130.5,19251.33,15084.49,11328.55,1523.21,0,0,25,2023
2023-06-26,187092.51,16285.68,11038.2,9115.23,1241.61,0,0,26,2023
2023-07-03,188828.34,15858.22,12877.34,8710.63,1956.94,0,0,27,2023
2023-07-10,183172.91,18964.94,13656.28,10873.8,1661.67,0,0,28,2023
2023-07-17,192011.62,17553.07,13387.79,8233.24,1188.83,5000,0,29,2023
2023-07-24,197493.17,19428.0,12522.93,13038.45,1442.9,8000,0,30,2023
2023-07-31,199239.94,18946.48,12976.34,12138.09,1237.31,0,0,31,2023
2023-08-07,192584.01,17854.34,12730.3,9742.84,1085.16,5000,0,32,2023
2023-08-14,190450.03,16306.41,12672.77,7954.57,1777.85,0,0,33,2023
2023-08-21,194494.8,14970.31,14150.57,12632.75,2072.82,5000,0,34,2023
2023-08-28,194537.82,17106.97,13696.82,10507.8,1080.43,0,0,35,2023
2023-09-04,192310.78,19712.8,12685.73,12614.01,1668.89,0,0,36,2023
2023-09-11,190441.72,18428.19,14317.08,8443.31,1304.81,5000,0,37,2023
2023-09-18,190859.32,15508.52,13763.61,10013.56,1353.86,0,0,38,2023
2023-09-25,188373.37,18346.36,14308.01,10998.16,1322.28,0,0,39,2023
2023-10-02,189390.22,18770.63,14163.61,11138.43,1240.8,0,0,40,2023
2023-10-09,182480.82,16232.29,12743.82,10470.53,1514.56,0,0,41,2023
2023-10-16,182623.23,18307.45,13051.47,12157.58,1250.71,0,0,42,2023
2023-10-23,182937.72,18116.42,14397.78,9699.54,1581.14,0,0,43,2023
2023-10-30,179490.69,15714.06,14299.69,11165.07,1484.93,0,0,44,2023
2023-11-06,185276.55,18715.57,13707.25,11636.75,1428.32,0,0,45,2023
2023-11-13,185875.35,19121.57,13884.32,12305.64,1227.73,0,0,46,2023
2023-11-20,183993.44,17166.1,15083.49,12679.07,1326.97,0,0,47,2023
2023-11-27,192957.19,17107.6,13253.09,10002.36,1726.62,8000,0,48,2023
2023-12-04,188743.08,12244.66,14430.59,9465.82,1650.28,0,0,49,2023
2023-12-11,194636.32,13124.35,13720.14,13761.18,1206.73,0,0,50,2023
2023-12-18,196914.02,16030.07,13743.48,12420.8,1529.8,0,0,51,2023
2023-12-25,203444.66,16027.57,15098.78,10877.27,1725.42,8000,0,52,2023
